model_type,lr,batch_size,optimizer,epochs,acc,f1,cm
rnn,0.001,64,adam,5,0.85,0.8489791459469479,"[[123, 12, 23, 14], [4, 229, 7, 26], [5, 16, 245, 19], [5, 2, 17, 253]]"
lstm,0.001,64,adam,5,0.919,0.9188410164460958,"[[149, 9, 9, 5], [2, 250, 5, 9], [3, 8, 259, 15], [4, 5, 7, 261]]"
gru,0.001,64,rmsprop,5,0.852,0.8491618422293511,"[[109, 12, 32, 19], [1, 241, 6, 18], [3, 11, 254, 17], [3, 7, 19, 248]]"
tfidf_dense,0.001,64,adam,5,0.932,0.9321042467265427,"[[155, 2, 4, 11], [2, 247, 6, 11], [8, 3, 264, 10], [2, 5, 4, 266]]"
