model_type,lr,batch_size,optimizer,epochs,acc,f1,cm
rnn,0.001,64,adam,5,0.497,0.44716965093895633,"[[107, 46, 124, 0], [23, 141, 121, 0], [9, 13, 244, 0], [37, 41, 89, 5]]"
bilstm,0.001,64,adam,5,0.723,0.7204935332426026,"[[227, 16, 20, 14], [33, 191, 33, 28], [32, 16, 209, 9], [29, 16, 31, 96]]"
gru,0.001,64,rmsprop,5,0.654,0.6388972304675804,"[[222, 11, 37, 7], [41, 151, 73, 20], [24, 11, 225, 6], [37, 31, 48, 56]]"
